id,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
1,Day Night,Stand-up Comedy,History,Thriller,2014,35,TV-Y,French,Japan,6.3,11115414,64610932.91,0,0,FALSE,2023-08-07,FALSE
2,House War,Stand-up Comedy,Sci-Fi,None,2017,37,PG,Japanese,USA,3.3,11115414,64610932.91,0,0,FALSE,2022-01-28,TRUE
3,New Adventure,Movie,Drama,None,2003,142,TV-MA,English,USA,8.5,2114120,64610932.91,0,0,FALSE,2021-05-04,TRUE
4,Warrior Story,Documentary,Sci-Fi,None,2011,131,NC-17,Japanese,USA,5.3,11115414,64610932.91,0,0,FALSE,2022-11-26,FALSE
5,War Day,Documentary,Sport,Mystery,2015,91,TV-G,English,USA,3.1,11115414,64610932.91,0,0,FALSE,2023-06-15,FALSE
6,Story Mystery,Movie,Documentary,Music,1997,113,PG-13,English,USA,8.0,4214426,792291,0,0,FALSE,2021-01-21,FALSE
7,Story Phoenix,TV Series,Sci-Fi,None,2003,52,TV-Y7,English,USA,6.3,11115414,64610932.91,7,158,FALSE,2021-11-30,FALSE
8,Warrior Ice,Movie,Horror,None,1991,109,TV-Y,Spanish,South Korea,7.7,629216,3995303,0,0,FALSE,2020-10-04,FALSE
9,Kingdom Dream,Movie,Biography,None,2013,123,PG,Spanish,USA,8.4,11115414,64610932.91,0,0,FALSE,2024-05-09,FALSE
10,A Love,Limited Series,Thriller,Animation,2019,49,TV-Y,Italian,Japan,8.2,11115414,64610932.91,12,32,FALSE,2021-09-20,FALSE
11,Battle Mission,Movie,Western,None,2022,148,R,English,USA,6.3,16018207,64610932.91,0,0,TRUE,2025-06-02,FALSE
12,Dragon Family,Movie,Crime,Sci-Fi,1997,95,G,English,South Korea,9.9,11115414,72997481,0,0,FALSE,2025-05-22,FALSE
13,Dragon Mystery,Movie,Romance,None,2013,138,PG,English,Germany,8.6,1758821,3573506,0,0,FALSE,2021-01-20,TRUE
14,Hero Empire,Movie,Mystery,None,1990,117,TV-14,Korean,Japan,8.4,11115414,32793336,0,0,TRUE,2020-10-01,FALSE
15,Dragon Empire,Movie,Sci-Fi,Mystery,2012,108,TV-G,English,UK,6.3,2006408,64610932.91,0,0,FALSE,2022-09-18,FALSE
16,Empire Mystery,TV Series,Family,None,1999,54,PG-13,Spanish,USA,6.0,11115414,64610932.91,7,139,FALSE,2022-01-19,FALSE
17,City Queen,Stand-up Comedy,War,None,2018,72,NC-17,Italian,UK,5.9,11115414,64610932.91,0,0,TRUE,2021-10-13,FALSE
18,Love Love,Movie,Adventure,None,2011,116,PG,English,France,7.6,10555440,7278095,0,0,TRUE,2021-04-04,FALSE
19,House Storm,Limited Series,Sci-Fi,Crime,2004,48,TV-PG,English,UK,9.3,11115414,64610932.91,1,155,FALSE,2022-05-12,FALSE
20,Legend House,TV Series,Fantasy,None,2009,41,PG-13,English,Canada,7.1,11115414,64610932.91,14,168,FALSE,2022-08-21,FALSE
21,Adventure Story,Limited Series,Family,Thriller,2020,52,TV-PG,English,USA,8.5,11115414,64610932.91,5,106,FALSE,2023-07-25,FALSE
22,Journey Empire,Movie,Sci-Fi,None,1998,115,TV-PG,English,South Korea,6.3,2934549,40080746,0,0,TRUE,2022-09-12,FALSE
23,Kingdom Dragon,TV Series,Adventure,None,2020,60,TV-MA,English,USA,4.8,11115414,64610932.91,6,197,TRUE,2024-10-18,FALSE
24,A War,Movie,Biography,None,1990,114,TV-Y7,English,South Korea,4.4,895311,52104449,0,0,FALSE,2023-04-04,FALSE
25,War Phoenix,Movie,Family,None,2013,127,PG,English,UK,9.2,11115414,1286089,0,0,FALSE,2024-12-21,FALSE
26,War Story,TV Series,Comedy,None,2000,78,PG,English,India,8.6,11115414,64610932.91,10,121,FALSE,2025-02-23,FALSE
27,Little Dragon,Stand-up Comedy,Western,None,2012,60,PG-13,English,South Korea,7.0,11115414,64610932.91,0,0,TRUE,2021-09-19,FALSE
28,Ice Kingdom,Stand-up Comedy,Biography,Romance,2003,417,PG,French,USA,6.3,11115414,64610932.91,0,0,FALSE,2024-01-07,FALSE
29,Phoenix Love,Movie,Horror,Sport,1998,117,PG,English,Japan,5.4,11115414,6128075,0,0,FALSE,2022-04-16,FALSE
