movie_id,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
movie_0360,Fire Night,TV Series,Comedy,Adventure,1953,52,TV-14,English,USA,4.0,11115414,64610932.91,2,116,FALSE,2022-12-14,TRUE
movie_0407,Phoenix Adventure,Stand-up Comedy,Action,None,1954,48,TV-PG,English,USA,6.4,11115414,64610932.91,0,0,TRUE,2021-09-14,TRUE
movie_0508,Last Hero,Movie,Adventure,Crime,1956,123,PG,English,Canada,8.1,1074818,32843910,0,0,FALSE,2023-10-13,FALSE
movie_0568,Dark Legend,Movie,Sci-Fi,None,1956,125,TV-Y7,English,Canada,6.2,1464928,7568167,0,0,FALSE,2025-03-22,FALSE
movie_0339,Big Empire,Movie,Fantasy,Sport,1961,106,PG-13,Spanish,Japan,7.5,945058,64610932.91,0,0,FALSE,2024-10-19,FALSE
movie_0202,City Empire,Stand-up Comedy,Horror,Adventure,1961,47,TV-14,Spanish,France,6.1,11115414,64610932.91,0,0,FALSE,2020-11-30,FALSE
movie_0711,Empire Kingdom,Movie,Drama,Thriller,1963,92,G,German,Japan,7.7,3853848,64610932.91,0,0,FALSE,2023-11-25,FALSE
movie_0868,War Empire,TV Series,Crime,Horror,1965,77,PG-13,English,France,6.5,11115414,64610932.91,1,150,FALSE,2021-09-29,FALSE
movie_0980,War Battle,TV Series,Adventure,Biography,1966,17,TV-MA,Spanish,USA,8.0,11115414,64610932.91,13,166,FALSE,2024-03-11,FALSE
movie_0980,War Battle,TV Series,Adventure,Biography,1966,17,TV-MA,Spanish,USA,8.0,11115414,64610932.91,13,166,FALSE,2024-03-11,FALSE
movie_0214,Last Dragon,Stand-up Comedy,Animation,Comedy,1966,47,TV-Y7,English,USA,4.3,11115414,64610932.91,0,0,FALSE,2024-11-12,FALSE
movie_0359,Quest Hero,Movie,Biography,None,1973,103,TV-14,Korean,USA,6.3,22962132,124272260,0,0,FALSE,2025-06-13,TRUE
movie_0579,Last Story,Movie,Documentary,None,1978,349,G,English,South Korea,7.0,5312135,69251153,0,0,FALSE,2024-02-05,FALSE
movie_0456,Ice Legend,Movie,War,None,1979,104,PG-13,Hindi,USA,6.3,11115414,96016345,0,0,FALSE,2025-07-18,FALSE
movie_0523,Mystery War,Movie,Fantasy,None,1981,159,G,Italian,South Korea,6.9,5347853,30379004,0,0,FALSE,2023-12-08,FALSE
movie_0305,Legend House,Movie,Adventure,Fantasy,1984,113,TV-MA,English,Japan,6.3,11115414,53455628,0,0,TRUE,2021-06-14,FALSE
movie_0305,Legend House,Movie,Adventure,Fantasy,1984,113,TV-MA,English,Japan,6.3,11115414,53455628,0,0,TRUE,2021-06-14,FALSE
movie_0299,Quest Mystery,TV Series,Biography,None,1986,36,R,French,Japan,7.4,11115414,64610932.91,3,54,TRUE,2022-12-15,TRUE
movie_0130,Last House,Movie,Action,None,1990,36,NC-17,English,Japan,6.4,10949397,45443003,0,0,FALSE,2020-11-19,FALSE
movie_0141,War Story,Movie,Action,Crime,1990,96,PG,Korean,Japan,3.9,11115414,351613,0,0,FALSE,2024-10-30,TRUE
movie_0805,Family Kingdom,Stand-up Comedy,Action,Adventure,1990,70,NC-17,English,France,2.9,11115414,64610932.91,0,0,TRUE,2024-11-23,FALSE
